"STATION","NAME","DATE","PRCP","SNWD","TAVG","TMAX","TMIN"
"UPM00033638","KHUST, UP","2016-01-01",,,"-8.9","-3.2","-11.5"
"UPM00033638","KHUST, UP","2016-01-02",,,"-8.9","-3.9","-10.9"
"UPM00033638","KHUST, UP","2016-01-03",,,"-10.7","-5.5","-13.9"
"UPM00033638","KHUST, UP","2016-01-04",,,"-10.4","-6.6","-15.1"
"UPM00033638","KHUST, UP","2016-01-05","2.3","10.0","-5.0",,"-7.4"
"UPM00033638","KHUST, UP","2016-01-06",,"20.0","-1.5","0.7","-4.3"
"UPM00033638","KHUST, UP","2016-01-07",,"20.0","-0.3","1.2","-2.1"
"UPM00033638","KHUST, UP","2016-01-08",,"20.0","-0.8","0.2",
"UPM00033638","KHUST, UP","2016-01-09",,"20.0","0.9","2.4","-1.6"
"UPM00033638","KHUST, UP","2016-01-10","54.1","10.0","2.8","6.1","0.8"
"UPM00033638","KHUST, UP","2016-01-11","7.1",,"3.1","4.4","2.2"
"UPM00033638","KHUST, UP","2016-01-12","13.0",,"7.1",,"3.6"
"UPM00033638","KHUST, UP","2016-01-13",,,"3.7","4.9",
"UPM00033638","KHUST, UP","2016-01-14","6.1",,"1.7","5.6",
"UPM00033638","KHUST, UP","2016-01-15",,,"-0.5","1.0","-2.0"
"UPM00033638","KHUST, UP","2016-01-16","6.1","71.0","-0.9","1.9",
"UPM00033638","KHUST, UP","2016-01-17",,,"-3.5","-1.1","-4.6"
"UPM00033638","KHUST, UP","2016-01-18",,"89.0","-5.3","0.5",
"UPM00033638","KHUST, UP","2016-01-19",,"71.0","-10.4","-5.1","-14.9"
"UPM00033638","KHUST, UP","2016-01-20",,"71.0","-6.1","-3.6","-10.3"
"UPM00033638","KHUST, UP","2016-01-21","1.5","79.0","-4.8","-0.7","-5.8"
"UPM00033638","KHUST, UP","2016-01-22",,"99.0","-5.6","-0.6","-7.6"
"UPM00033638","KHUST, UP","2016-01-23",,"79.0","-9.0","-1.6","-12.4"
"UPM00033638","KHUST, UP","2016-01-24",,"79.0","-10.3","-7.0","-14.9"
"UPM00033638","KHUST, UP","2016-01-25",,"79.0","-5.1","-3.6","-7.4"
"UPM00033638","KHUST, UP","2016-01-26",,"130.0","-2.1","1.6","-5.7"
"UPM00033638","KHUST, UP","2016-01-27","1.8","109.0","0.3","1.5","-0.5"
"UPM00033638","KHUST, UP","2016-01-28","1.0","89.0","1.4","2.8","0.7"
"UPM00033638","KHUST, UP","2016-01-29",,"61.0","1.8","3.6","1.1"
"UPM00033638","KHUST, UP","2016-01-30",,"30.0","1.8","2.9","1.2"
"UPM00033638","KHUST, UP","2016-01-31",,"20.0","4.3","7.8",
"UPM00033638","KHUST, UP","2016-02-01","7.1",,"2.2","3.5",
"UPM00033638","KHUST, UP","2016-02-02",,,"3.3","4.8","2.2"
"UPM00033638","KHUST, UP","2016-02-03",,,"5.8","8.3","3.6"
"UPM00033638","KHUST, UP","2016-02-04",,,"3.4","9.0",
"UPM00033638","KHUST, UP","2016-02-05",,,"-0.2","4.6","-2.9"
"UPM00033638","KHUST, UP","2016-02-06",,,"0.1","4.2","-4.0"
"UPM00033638","KHUST, UP","2016-02-07",,,"3.5","10.4",
"UPM00033638","KHUST, UP","2016-02-08",,,"4.1","11.6","-1.4"
"UPM00033638","KHUST, UP","2016-02-09","9.1",,"6.7","9.2","4.0"
"UPM00033638","KHUST, UP","2016-02-10",,,"7.2","8.7",
"UPM00033638","KHUST, UP","2016-02-11","7.9",,"3.5","5.4","0.7"
"UPM00033638","KHUST, UP","2016-02-12",,,"4.3","10.4","-0.7"
"UPM00033638","KHUST, UP","2016-02-13",,,"5.6","9.8","3.0"
"UPM00033638","KHUST, UP","2016-02-14","7.1",,"5.1","6.9",
"UPM00033638","KHUST, UP","2016-02-15","13.0",,"10.1","13.4","4.0"
"UPM00033638","KHUST, UP","2016-02-16","1.0",,"7.9","9.4",
"UPM00033638","KHUST, UP","2016-02-17",,,"9.0","16.5","2.8"
"UPM00033638","KHUST, UP","2016-02-18",,,"8.2","14.8","4.7"
"UPM00033638","KHUST, UP","2016-02-19","6.4",,"7.0","9.0",
"UPM00033638","KHUST, UP","2016-02-20","3.8",,"3.3","4.4","3.0"
"UPM00033638","KHUST, UP","2016-02-21","13.0",,"1.6",,
"UPM00033638","KHUST, UP","2016-02-22",,,"8.2","15.7","0.6"
"UPM00033638","KHUST, UP","2016-02-23",,,"8.0","11.5","5.8"
"UPM00033638","KHUST, UP","2016-02-24","8.9",,"4.7",,
"UPM00033638","KHUST, UP","2016-02-25",,,"3.2","7.9","-1.2"
"UPM00033638","KHUST, UP","2016-02-26","2.3",,"3.3","6.4","2.2"
"UPM00033638","KHUST, UP","2016-02-27",,,"3.5","10.2","-1.8"
"UPM00033638","KHUST, UP","2016-02-28",,,"7.4","14.6","1.6"
"UPM00033638","KHUST, UP","2016-02-29",,,"7.2","14.0","2.5"
"UPM00033638","KHUST, UP","2016-03-01","4.6",,"8.0","13.1",
"UPM00033638","KHUST, UP","2016-03-02",,,"2.4","3.6","1.9"
"UPM00033638","KHUST, UP","2016-03-03",,,"5.0","12.2","1.0"
"UPM00033638","KHUST, UP","2016-03-04",,,"7.8","16.6","2.4"
"UPM00033638","KHUST, UP","2016-03-05",,,"5.6","9.3","2.5"
"UPM00033638","KHUST, UP","2016-03-06",,,"5.3","9.1","0.5"
"UPM00033638","KHUST, UP","2016-03-07",,,"8.2","12.4","6.2"
"UPM00033638","KHUST, UP","2016-03-08",,,"7.9","10.4",
"UPM00033638","KHUST, UP","2016-03-09",,,"8.3","15.6","2.8"
"UPM00033638","KHUST, UP","2016-03-10",,,"11.2","15.4","7.8"
"UPM00033638","KHUST, UP","2016-03-11",,,"9.6","16.4","2.8"
"UPM00033638","KHUST, UP","2016-03-12",,,"9.3","13.4","7.4"
"UPM00033638","KHUST, UP","2016-03-13",,,"8.8","12.6",
"UPM00033638","KHUST, UP","2016-03-14",,,"4.7","11.0","-1.6"
"UPM00033638","KHUST, UP","2016-03-15",,,"3.4","5.9","2.0"
"UPM00033638","KHUST, UP","2016-03-16",,,"5.6","12.6","0.8"
"UPM00033638","KHUST, UP","2016-03-17",,,"4.3","12.4","-2.1"
"UPM00033638","KHUST, UP","2016-03-18",,,"5.6","13.0","-1.6"
"UPM00033638","KHUST, UP","2016-03-19",,,"4.1",,
"UPM00033638","KHUST, UP","2016-03-20",,,"2.4","9.6","-5.0"
"UPM00033638","KHUST, UP","2016-03-21",,,"6.7","12.5","1.9"
"UPM00033638","KHUST, UP","2016-03-22",,,"5.4","11.6",
"UPM00033638","KHUST, UP","2016-03-23",,,"5.6","11.2","1.2"
"UPM00033638","KHUST, UP","2016-03-24",,,"4.8","8.0",
"UPM00033638","KHUST, UP","2016-03-25",,,"4.1","10.8","-1.8"
"UPM00033638","KHUST, UP","2016-03-26",,,"5.1","10.0","0.4"
"UPM00033638","KHUST, UP","2016-03-27",,,"7.4","13.6","3.1"
"UPM00033638","KHUST, UP","2016-03-28",,,"7.7","12.6","4.0"
"UPM00033638","KHUST, UP","2016-03-29",,,"8.2","13.1","4.4"
"UPM00033638","KHUST, UP","2016-03-30",,,"9.7","14.7","5.3"
"UPM00033638","KHUST, UP","2016-03-31",,,"14.1","20.3","6.9"
"UPM00033638","KHUST, UP","2016-04-01",,,"13.6","22.9","6.3"
"UPM00033638","KHUST, UP","2016-04-02",,,"9.4","15.8","3.0"
"UPM00033638","KHUST, UP","2016-04-03",,,"9.4","19.3","-0.4"
"UPM00033638","KHUST, UP","2016-04-04",,,"12.7","24.0","3.4"
"UPM00033638","KHUST, UP","2016-04-05",,,"15.8","25.0","7.0"
"UPM00033638","KHUST, UP","2016-04-06",,,"17.2","26.7","8.3"
"UPM00033638","KHUST, UP","2016-04-07",,,"16.2","25.4","9.5"
"UPM00033638","KHUST, UP","2016-04-08",,,"16.6","22.4","10.8"
"UPM00033638","KHUST, UP","2016-04-09",,,"16.8","24.8",
"UPM00033638","KHUST, UP","2016-04-10",,,"14.8","18.5","11.6"
"UPM00033638","KHUST, UP","2016-04-11",,,"12.8","17.5","9.2"
"UPM00033638","KHUST, UP","2016-04-12",,,"12.8","17.8","8.0"
"UPM00033638","KHUST, UP","2016-04-13",,,"14.7","22.9","8.4"
"UPM00033638","KHUST, UP","2016-04-14",,,"12.4","21.0","8.3"
"UPM00033638","KHUST, UP","2016-04-15",,,"14.0","18.8","9.6"
"UPM00033638","KHUST, UP","2016-04-16",,,"15.9","23.9","9.5"
"UPM00033638","KHUST, UP","2016-04-17",,,"16.9","26.2","7.6"
"UPM00033638","KHUST, UP","2016-04-18",,,"16.8","25.4","9.8"
"UPM00033638","KHUST, UP","2016-04-19",,,"14.0","20.6","8.5"
"UPM00033638","KHUST, UP","2016-04-20",,,"10.9","15.5","7.9"
"UPM00033638","KHUST, UP","2016-04-21",,,"10.3","16.8","4.5"
"UPM00033638","KHUST, UP","2016-04-22",,,"11.4","21.2","1.0"
"UPM00033638","KHUST, UP","2016-04-23",,,"14.2","22.6","8.1"
"UPM00033638","KHUST, UP","2016-04-24",,,"12.3","22.3","6.8"
"UPM00033638","KHUST, UP","2016-04-25","16.0",,"6.1","7.9","5.4"
"UPM00033638","KHUST, UP","2016-04-26",,,"6.9","12.3",
"UPM00033638","KHUST, UP","2016-04-27",,,"10.1","18.4","3.0"
"UPM00033638","KHUST, UP","2016-04-28",,,"9.0","14.4",
"UPM00033638","KHUST, UP","2016-04-29",,,"9.9","17.4","2.7"
"UPM00033638","KHUST, UP","2016-04-30","9.9",,"11.6","18.1",
"UPM00033638","KHUST, UP","2016-05-01",,,"15.0","23.3","7.0"
"UPM00033638","KHUST, UP","2016-05-02",,,"15.2","23.0","10.2"
"UPM00033638","KHUST, UP","2016-05-03",,,"15.0","23.0","10.2"
"UPM00033638","KHUST, UP","2016-05-04",,,"15.1","23.0","9.5"
"UPM00033638","KHUST, UP","2016-05-05",,,"12.7","23.5","5.8"
"UPM00033638","KHUST, UP","2016-05-06",,,"15.1","23.8","7.6"
"UPM00033638","KHUST, UP","2016-05-07",,,"13.3","19.0","7.6"
"UPM00033638","KHUST, UP","2016-05-08",,,"10.7","18.0","6.5"
"UPM00033638","KHUST, UP","2016-05-09","3.0",,"12.3","18.4","6.4"
"UPM00033638","KHUST, UP","2016-05-10",,,"13.9","22.6","6.0"
"UPM00033638","KHUST, UP","2016-05-11",,,"15.1","23.5","7.9"
"UPM00033638","KHUST, UP","2016-05-12",,,"16.6","25.4","7.3"
"UPM00033638","KHUST, UP","2016-05-13","23.9",,"15.8","21.9","13.1"
"UPM00033638","KHUST, UP","2016-05-14","11.9",,"14.4","17.3","13.3"
"UPM00033638","KHUST, UP","2016-05-15","8.4",,"15.1","21.7","11.0"
"UPM00033638","KHUST, UP","2016-05-16",,,"12.1","17.0","7.6"
"UPM00033638","KHUST, UP","2016-05-17",,,"9.6","16.5","5.3"
"UPM00033638","KHUST, UP","2016-05-18","9.9",,"9.9","15.1","6.8"
"UPM00033638","KHUST, UP","2016-05-19",,,"12.1","18.7","6.0"
"UPM00033638","KHUST, UP","2016-05-20",,,"13.9","22.2","3.8"
"UPM00033638","KHUST, UP","2016-05-21",,,"16.1","25.0","6.0"
"UPM00033638","KHUST, UP","2016-05-22",,,"18.0","26.6","8.5"
"UPM00033638","KHUST, UP","2016-05-23",,,"18.9","27.6","9.8"
"UPM00033638","KHUST, UP","2016-05-24",,,"17.4","26.9","11.0"
"UPM00033638","KHUST, UP","2016-05-25",,,"17.7","24.3","10.8"
"UPM00033638","KHUST, UP","2016-05-26",,,"18.7","26.9","9.6"
"UPM00033638","KHUST, UP","2016-05-27",,,"18.3","27.8","10.3"
"UPM00033638","KHUST, UP","2016-05-28",,,"19.5","28.7","11.7"
"UPM00033638","KHUST, UP","2016-05-29",,,"21.5","30.0","12.2"
"UPM00033638","KHUST, UP","2016-05-30",,,"20.3","28.7","13.8"
"UPM00033638","KHUST, UP","2016-05-31",,,"20.8","28.0","15.2"
"UPM00033638","KHUST, UP","2016-06-01",,,"20.3","27.6","13.6"
"UPM00033638","KHUST, UP","2016-06-02","17.0",,"16.8","19.3","14.7"
"UPM00033638","KHUST, UP","2016-06-03",,,"18.1","21.5",
"UPM00033638","KHUST, UP","2016-06-04",,,"19.4","27.0","11.4"
"UPM00033638","KHUST, UP","2016-06-05",,,"19.4","27.1","13.0"
"UPM00033638","KHUST, UP","2016-06-06",,,"17.3","23.8","11.8"
"UPM00033638","KHUST, UP","2016-06-07",,,"15.3","22.8","6.5"
"UPM00033638","KHUST, UP","2016-06-08",,,"15.7","23.5","6.8"
"UPM00033638","KHUST, UP","2016-06-09",,,"17.2","26.1","8.2"
"UPM00033638","KHUST, UP","2016-06-10",,,"16.2","19.9","10.9"
"UPM00033638","KHUST, UP","2016-06-11",,,"17.0","22.3","14.2"
"UPM00033638","KHUST, UP","2016-06-12",,,"16.9","21.5","13.1"
"UPM00033638","KHUST, UP","2016-06-13",,,"17.8","21.6","15.0"
"UPM00033317","SHEPETIVKA, UP","2016-01-01","1.0","10.0","-11.2","-8.6","-13.0"
"UPM00033317","SHEPETIVKA, UP","2016-01-02",,"20.0","-15.0","-12.3","-17.3"
"UPM00033317","SHEPETIVKA, UP","2016-01-03",,"20.0","-16.7","-13.7",
"UPM00033317","SHEPETIVKA, UP","2016-01-04",,"20.0","-15.4",,"-19.2"
"UPM00033317","SHEPETIVKA, UP","2016-01-05","0.5","20.0","-10.0","-8.0","-12.4"
"UPM00033317","SHEPETIVKA, UP","2016-01-06",,"20.0","-5.8","-3.5","-10.6"
"UPM00033317","SHEPETIVKA, UP","2016-01-07","5.1","61.0","-4.7","-2.7",
"UPM00033317","SHEPETIVKA, UP","2016-01-08",,"71.0","-5.1",,"-7.0"
"UPM00033317","SHEPETIVKA, UP","2016-01-09","0.5","71.0","-1.6","1.3",
"UPM00033317","SHEPETIVKA, UP","2016-01-10",,"61.0","-3.0","-1.0","-6.6"
"UPM00033317","SHEPETIVKA, UP","2016-01-11",,"119.0","0.7",,"-1.6"
"UPM00033317","SHEPETIVKA, UP","2016-01-12","2.0","71.0","2.2","3.6","1.7"
"UPM00033317","SHEPETIVKA, UP","2016-01-13","1.0","30.0","0.4","1.5","-1.0"
"UPM00033317","SHEPETIVKA, UP","2016-01-14",,"20.0","-1.4",,"-2.0"
"UPM00033317","SHEPETIVKA, UP","2016-01-15",,"20.0","-1.4","0.3","-3.3"
"UPM00033317","SHEPETIVKA, UP","2016-01-16","3.0","51.0","-2.7","-0.6",
"UPM00033317","SHEPETIVKA, UP","2016-01-17",,"51.0","-10.6","-9.4","-12.1"
"UPM00033317","SHEPETIVKA, UP","2016-01-18",,"51.0","-9.3","-7.2","-11.0"
"UPM00033317","SHEPETIVKA, UP","2016-01-19","0.5","51.0","-7.0","-4.2","-10.5"
"UPM00033317","SHEPETIVKA, UP","2016-01-20",,"51.0","-8.4","-5.1","-13.0"
"UPM00033317","SHEPETIVKA, UP","2016-01-21","1.8","61.0","-7.3","-3.5","-9.6"
"UPM00033317","SHEPETIVKA, UP","2016-01-22","1.5","71.0","-9.7","-7.9",
"UPM00033317","SHEPETIVKA, UP","2016-01-23","1.5","79.0","-6.7","-3.8","-11.6"
"UPM00033317","SHEPETIVKA, UP","2016-01-24",,"79.0","-9.2","-7.2","-10.8"
"UPM00033317","SHEPETIVKA, UP","2016-01-25","7.1","119.0","-2.6","0.6","-10.8"
"UPM00033317","SHEPETIVKA, UP","2016-01-26","2.3","170.0","0.2","1.0","-1.1"
"UPM00033317","SHEPETIVKA, UP","2016-01-27","2.8","130.0","2.1","3.0","-0.6"
"UPM00033317","SHEPETIVKA, UP","2016-01-28",,"51.0","4.6","8.0","2.1"
"UPM00033317","SHEPETIVKA, UP","2016-01-29",,"10.0","1.4","4.4",
"UPM00033317","SHEPETIVKA, UP","2016-01-30",,,"3.5","7.7","-0.3"
"UPM00033317","SHEPETIVKA, UP","2016-01-31",,,"2.3","5.5",
"UPM00033317","SHEPETIVKA, UP","2016-02-01",,,"0.2","2.2","-1.0"
"UPM00033317","SHEPETIVKA, UP","2016-02-02","1.3",,"3.7","8.2","-0.6"
"UPM00033317","SHEPETIVKA, UP","2016-02-03",,,"5.2","8.8",
"UPM00033317","SHEPETIVKA, UP","2016-02-04",,,"0.9","2.7",
"UPM00033317","SHEPETIVKA, UP","2016-02-05",,,"0.0","2.0","-1.7"
"UPM00033317","SHEPETIVKA, UP","2016-02-06",,,"-0.4","2.8","-2.9"
"UPM00033317","SHEPETIVKA, UP","2016-02-07",,,"0.2","3.7","-2.5"
"UPM00033317","SHEPETIVKA, UP","2016-02-08",,,"1.2","3.9","-1.6"
"UPM00033317","SHEPETIVKA, UP","2016-02-09","2.3",,"2.3","7.9","0.8"
"UPM00033317","SHEPETIVKA, UP","2016-02-10",,,"4.3","7.3","1.7"
"UPM00033317","SHEPETIVKA, UP","2016-02-11","7.9",,"2.7",,
"UPM00033317","SHEPETIVKA, UP","2016-02-12",,,"2.9","7.6","0.5"
"UPM00033317","SHEPETIVKA, UP","2016-02-13",,,"1.8","2.6","0.5"
"UPM00033317","SHEPETIVKA, UP","2016-02-14","1.8",,"2.3","5.7","0.5"
"UPM00033317","SHEPETIVKA, UP","2016-02-15",,,"6.4","13.9","1.8"
"UPM00033317","SHEPETIVKA, UP","2016-02-16","1.0",,"5.9","7.7",
"UPM00033317","SHEPETIVKA, UP","2016-02-17",,,"1.8","3.7","0.6"
"UPM00033317","SHEPETIVKA, UP","2016-02-18",,,"1.5",,"-0.2"
