"year","month","day","start","end","length","date"
2016,1,"1",2017-08-21 07:46:00,2017-08-21 16:04:00,"8:18:34",2016-01-01
2016,1,"2",2017-08-21 07:46:00,2017-08-21 16:05:00,"8:19:35",2016-01-02
2016,1,"3",2017-08-21 07:45:00,2017-08-21 16:06:00,"8:20:41",2016-01-03
2016,1,"4",2017-08-21 07:45:00,2017-08-21 16:07:00,"8:21:53",2016-01-04
2016,1,"5",2017-08-21 07:45:00,2017-08-21 16:08:00,"8:23:10",2016-01-05
2016,1,"6",2017-08-21 07:45:00,2017-08-21 16:09:00,"8:24:32",2016-01-06
2016,1,"7",2017-08-21 07:45:00,2017-08-21 16:11:00,"8:25:59",2016-01-07
2016,1,"8",2017-08-21 07:44:00,2017-08-21 16:12:00,"8:27:31",2016-01-08
2016,1,"9",2017-08-21 07:44:00,2017-08-21 16:13:00,"8:29:08",2016-01-09
2016,1,"10",2017-08-21 07:44:00,2017-08-21 16:14:00,"8:30:49",2016-01-10
2016,1,"11",2017-08-21 07:43:00,2017-08-21 16:16:00,"8:32:35",2016-01-11
2016,1,"12",2017-08-21 07:43:00,2017-08-21 16:17:00,"8:34:26",2016-01-12
2016,1,"13",2017-08-21 07:42:00,2017-08-21 16:18:00,"8:36:22",2016-01-13
2016,1,"14",2017-08-21 07:41:00,2017-08-21 16:20:00,"8:38:21",2016-01-14
2016,1,"15",2017-08-21 07:41:00,2017-08-21 16:21:00,"8:40:25",2016-01-15
2016,1,"16",2017-08-21 07:40:00,2017-08-21 16:23:00,"8:42:33",2016-01-16
2016,1,"17",2017-08-21 07:39:00,2017-08-21 16:24:00,"8:44:45",2016-01-17
2016,1,"18",2017-08-21 07:38:00,2017-08-21 16:25:00,"8:47:01",2016-01-18
2016,1,"19",2017-08-21 07:38:00,2017-08-21 16:27:00,"8:49:21",2016-01-19
2016,1,"20",2017-08-21 07:37:00,2017-08-21 16:28:00,"8:51:44",2016-01-20
2016,1,"21",2017-08-21 07:36:00,2017-08-21 16:30:00,"8:54:11",2016-01-21
2016,1,"22",2017-08-21 07:35:00,2017-08-21 16:32:00,"8:56:42",2016-01-22
2016,1,"23",2017-08-21 07:34:00,2017-08-21 16:33:00,"8:59:15",2016-01-23
2016,1,"24",2017-08-21 07:33:00,2017-08-21 16:35:00,"9:01:52",2016-01-24
2016,1,"25",2017-08-21 07:32:00,2017-08-21 16:36:00,"9:04:32",2016-01-25
2016,1,"26",2017-08-21 07:31:00,2017-08-21 16:38:00,"9:07:15",2016-01-26
2016,1,"27",2017-08-21 07:29:00,2017-08-21 16:39:00,"9:10:01",2016-01-27
2016,1,"28",2017-08-21 07:28:00,2017-08-21 16:41:00,"9:12:50",2016-01-28
2016,1,"29",2017-08-21 07:27:00,2017-08-21 16:43:00,"9:15:41",2016-01-29
2016,1,"30",2017-08-21 07:26:00,2017-08-21 16:44:00,"9:18:35",2016-01-30
2016,1,"31",2017-08-21 07:24:00,2017-08-21 16:46:00,"9:21:32",2016-01-31
2016,2,"1",2017-08-21 07:23:00,2017-08-21 16:48:00,"9:24:31",2016-02-01
2016,2,"2",2017-08-21 07:22:00,2017-08-21 16:49:00,"9:27:32",2016-02-02
2016,2,"3",2017-08-21 07:20:00,2017-08-21 16:51:00,"9:30:35",2016-02-03
2016,2,"4",2017-08-21 07:19:00,2017-08-21 16:52:00,"9:33:41",2016-02-04
2016,2,"5",2017-08-21 07:17:00,2017-08-21 16:54:00,"9:36:48",2016-02-05
2016,2,"6",2017-08-21 07:16:00,2017-08-21 16:56:00,"9:39:57",2016-02-06
2016,2,"7",2017-08-21 07:14:00,2017-08-21 16:57:00,"9:43:09",2016-02-07
2016,2,"8",2017-08-21 07:13:00,2017-08-21 16:59:00,"9:46:21",2016-02-08
2016,2,"9",2017-08-21 07:11:00,2017-08-21 17:01:00,"9:49:36",2016-02-09
2016,2,"10",2017-08-21 07:10:00,2017-08-21 17:02:00,"9:52:52",2016-02-10
2016,2,"11",2017-08-21 07:08:00,2017-08-21 17:04:00,"9:56:10",2016-02-11
2016,2,"12",2017-08-21 07:06:00,2017-08-21 17:06:00,"9:59:29",2016-02-12
2016,2,"13",2017-08-21 07:05:00,2017-08-21 17:07:00,"10:02:49",2016-02-13
2016,2,"14",2017-08-21 07:03:00,2017-08-21 17:09:00,"10:06:11",2016-02-14
2016,2,"15",2017-08-21 07:01:00,2017-08-21 17:11:00,"10:09:33",2016-02-15
2016,2,"16",2017-08-21 06:59:00,2017-08-21 17:12:00,"10:12:57",2016-02-16
2016,2,"17",2017-08-21 06:58:00,2017-08-21 17:14:00,"10:16:22",2016-02-17
2016,2,"18",2017-08-21 06:56:00,2017-08-21 17:16:00,"10:19:48",2016-02-18
2016,2,"19",2017-08-21 06:54:00,2017-08-21 17:17:00,"10:23:15",2016-02-19
2016,2,"20",2017-08-21 06:52:00,2017-08-21 17:19:00,"10:26:43",2016-02-20
2016,2,"21",2017-08-21 06:50:00,2017-08-21 17:21:00,"10:30:12",2016-02-21
2016,2,"22",2017-08-21 06:49:00,2017-08-21 17:22:00,"10:33:42",2016-02-22
2016,2,"23",2017-08-21 06:47:00,2017-08-21 17:24:00,"10:37:12",2016-02-23
2016,2,"24",2017-08-21 06:45:00,2017-08-21 17:26:00,"10:40:43",2016-02-24
2016,2,"25",2017-08-21 06:43:00,2017-08-21 17:27:00,"10:44:15",2016-02-25
2016,2,"26",2017-08-21 06:41:00,2017-08-21 17:29:00,"10:47:47",2016-02-26
2016,2,"27",2017-08-21 06:39:00,2017-08-21 17:30:00,"10:51:20",2016-02-27
2016,2,"28",2017-08-21 06:37:00,2017-08-21 17:32:00,"10:54:54",2016-02-28
2016,2,"29",2017-08-21 06:35:00,2017-08-21 17:34:00,"10:58:28",2016-02-29
2016,3,"1",2017-08-21 06:33:00,2017-08-21 17:35:00,"11:02:02",2016-03-01
2016,3,"2",2017-08-21 06:31:00,2017-08-21 17:37:00,"11:05:37",2016-03-02
2016,3,"3",2017-08-21 06:29:00,2017-08-21 17:38:00,"11:09:12",2016-03-03
2016,3,"4",2017-08-21 06:27:00,2017-08-21 17:40:00,"11:12:48",2016-03-04
2016,3,"5",2017-08-21 06:25:00,2017-08-21 17:42:00,"11:16:25",2016-03-05
2016,3,"6",2017-08-21 06:23:00,2017-08-21 17:43:00,"11:20:01",2016-03-06
2016,3,"7",2017-08-21 06:21:00,2017-08-21 17:45:00,"11:23:38",2016-03-07
2016,3,"8",2017-08-21 06:19:00,2017-08-21 17:46:00,"11:27:15",2016-03-08
2016,3,"9",2017-08-21 06:17:00,2017-08-21 17:48:00,"11:30:52",2016-03-09
2016,3,"10",2017-08-21 06:15:00,2017-08-21 17:49:00,"11:34:29",2016-03-10
2016,3,"11",2017-08-21 06:13:00,2017-08-21 17:51:00,"11:38:07",2016-03-11
2016,3,"12",2017-08-21 06:11:00,2017-08-21 17:52:00,"11:41:45",2016-03-12
2016,3,"13",2017-08-21 06:09:00,2017-08-21 17:54:00,"11:45:22",2016-03-13
2016,3,"14",2017-08-21 06:07:00,2017-08-21 17:56:00,"11:49:00",2016-03-14
2016,3,"15",2017-08-21 06:04:00,2017-08-21 17:57:00,"11:52:38",2016-03-15
2016,3,"16",2017-08-21 06:02:00,2017-08-21 17:59:00,"11:56:16",2016-03-16
2016,3,"17",2017-08-21 06:00:00,2017-08-21 18:00:00,"11:59:54",2016-03-17
2016,3,"18",2017-08-21 05:58:00,2017-08-21 18:02:00,"12:03:33",2016-03-18
2016,3,"19",2017-08-21 05:56:00,2017-08-21 18:03:00,"12:07:11",2016-03-19
2016,3,"20",2017-08-21 05:54:00,2017-08-21 18:05:00,"12:10:49",2016-03-20
2016,3,"21",2017-08-21 05:52:00,2017-08-21 18:06:00,"12:14:27",2016-03-21
2016,3,"22",2017-08-21 05:50:00,2017-08-21 18:08:00,"12:18:04",2016-03-22
2016,3,"23",2017-08-21 05:48:00,2017-08-21 18:09:00,"12:21:42",2016-03-23
2016,3,"24",2017-08-21 05:45:00,2017-08-21 18:11:00,"12:25:20",2016-03-24
2016,3,"25",2017-08-21 05:43:00,2017-08-21 18:12:00,"12:28:57",2016-03-25
2016,3,"26",2017-08-21 05:41:00,2017-08-21 18:14:00,"12:32:35",2016-03-26
2016,3,"27",2017-08-21 06:39:00,2017-08-21 19:15:00,"12:36:12",2016-03-27
2016,3,"28",2017-08-21 06:37:00,2017-08-21 19:17:00,"12:39:49",2016-03-28
2016,3,"29",2017-08-21 06:35:00,2017-08-21 19:18:00,"12:43:26",2016-03-29
2016,3,"30",2017-08-21 06:33:00,2017-08-21 19:20:00,"12:47:02",2016-03-30
2016,3,"31",2017-08-21 06:31:00,2017-08-21 19:21:00,"12:50:39",2016-03-31
2016,4,"1",2017-08-21 06:29:00,2017-08-21 19:23:00,"12:54:15",2016-04-01
2016,4,"2",2017-08-21 06:27:00,2017-08-21 19:24:00,"12:57:50",2016-04-02
2016,4,"3",2017-08-21 06:24:00,2017-08-21 19:26:00,"13:01:26",2016-04-03
2016,4,"4",2017-08-21 06:22:00,2017-08-21 19:27:00,"13:05:01",2016-04-04
2016,4,"5",2017-08-21 06:20:00,2017-08-21 19:29:00,"13:08:36",2016-04-05
2016,4,"6",2017-08-21 06:18:00,2017-08-21 19:30:00,"13:12:10",2016-04-06
2016,4,"7",2017-08-21 06:16:00,2017-08-21 19:32:00,"13:15:44",2016-04-07
2016,4,"8",2017-08-21 06:14:00,2017-08-21 19:33:00,"13:19:17",2016-04-08
2016,4,"9",2017-08-21 06:12:00,2017-08-21 19:35:00,"13:22:50",2016-04-09
2016,4,"10",2017-08-21 06:10:00,2017-08-21 19:36:00,"13:26:22",2016-04-10
2016,4,"11",2017-08-21 06:08:00,2017-08-21 19:38:00,"13:29:54",2016-04-11
2016,4,"12",2017-08-21 06:06:00,2017-08-21 19:39:00,"13:33:25",2016-04-12
2016,4,"13",2017-08-21 06:04:00,2017-08-21 19:41:00,"13:36:55",2016-04-13
2016,4,"14",2017-08-21 06:02:00,2017-08-21 19:42:00,"13:40:25",2016-04-14
2016,4,"15",2017-08-21 06:00:00,2017-08-21 19:44:00,"13:43:54",2016-04-15
2016,4,"16",2017-08-21 05:58:00,2017-08-21 19:45:00,"13:47:22",2016-04-16
2016,4,"17",2017-08-21 05:56:00,2017-08-21 19:47:00,"13:50:49",2016-04-17
2016,4,"18",2017-08-21 05:54:00,2017-08-21 19:48:00,"13:54:16",2016-04-18
2016,4,"19",2017-08-21 05:52:00,2017-08-21 19:50:00,"13:57:41",2016-04-19
2016,4,"20",2017-08-21 05:50:00,2017-08-21 19:51:00,"14:01:06",2016-04-20
2016,4,"21",2017-08-21 05:48:00,2017-08-21 19:53:00,"14:04:30",2016-04-21
2016,4,"22",2017-08-21 05:47:00,2017-08-21 19:54:00,"14:07:53",2016-04-22
2016,4,"23",2017-08-21 05:45:00,2017-08-21 19:56:00,"14:11:14",2016-04-23
2016,4,"24",2017-08-21 05:43:00,2017-08-21 19:57:00,"14:14:35",2016-04-24
2016,4,"25",2017-08-21 05:41:00,2017-08-21 19:59:00,"14:17:54",2016-04-25
2016,4,"26",2017-08-21 05:39:00,2017-08-21 20:00:00,"14:21:12",2016-04-26
2016,4,"27",2017-08-21 05:37:00,2017-08-21 20:02:00,"14:24:29",2016-04-27
2016,4,"28",2017-08-21 05:36:00,2017-08-21 20:03:00,"14:27:44",2016-04-28
2016,4,"29",2017-08-21 05:34:00,2017-08-21 20:05:00,"14:30:58",2016-04-29
2016,4,"30",2017-08-21 05:32:00,2017-08-21 20:06:00,"14:34:11",2016-04-30
2016,5,"1",2017-08-21 05:30:00,2017-08-21 20:08:00,"14:37:22",2016-05-01
2016,5,"2",2017-08-21 05:29:00,2017-08-21 20:09:00,"14:40:31",2016-05-02
2016,5,"3",2017-08-21 05:27:00,2017-08-21 20:11:00,"14:43:39",2016-05-03
2016,5,"4",2017-08-21 05:25:00,2017-08-21 20:12:00,"14:46:44",2016-05-04
2016,5,"5",2017-08-21 05:24:00,2017-08-21 20:14:00,"14:49:48",2016-05-05
2016,5,"6",2017-08-21 05:22:00,2017-08-21 20:15:00,"14:52:51",2016-05-06
2016,5,"7",2017-08-21 05:21:00,2017-08-21 20:16:00,"14:55:51",2016-05-07
2016,5,"8",2017-08-21 05:19:00,2017-08-21 20:18:00,"14:58:49",2016-05-08
2016,5,"9",2017-08-21 05:18:00,2017-08-21 20:19:00,"15:01:45",2016-05-09
2016,5,"10",2017-08-21 05:16:00,2017-08-21 20:21:00,"15:04:38",2016-05-10
2016,5,"11",2017-08-21 05:15:00,2017-08-21 20:22:00,"15:07:30",2016-05-11
2016,5,"12",2017-08-21 05:13:00,2017-08-21 20:23:00,"15:10:18",2016-05-12
2016,5,"13",2017-08-21 05:12:00,2017-08-21 20:25:00,"15:13:05",2016-05-13
2016,5,"14",2017-08-21 05:10:00,2017-08-21 20:26:00,"15:15:48",2016-05-14
2016,5,"15",2017-08-21 05:09:00,2017-08-21 20:28:00,"15:18:29",2016-05-15
2016,5,"16",2017-08-21 05:08:00,2017-08-21 20:29:00,"15:21:08",2016-05-16
2016,5,"17",2017-08-21 05:06:00,2017-08-21 20:30:00,"15:23:43",2016-05-17
2016,5,"18",2017-08-21 05:05:00,2017-08-21 20:31:00,"15:26:15",2016-05-18
2016,5,"19",2017-08-21 05:04:00,2017-08-21 20:33:00,"15:28:45",2016-05-19
2016,5,"20",2017-08-21 05:03:00,2017-08-21 20:34:00,"15:31:11",2016-05-20
2016,5,"21",2017-08-21 05:02:00,2017-08-21 20:35:00,"15:33:33",2016-05-21
2016,5,"22",2017-08-21 05:01:00,2017-08-21 20:37:00,"15:35:53",2016-05-22
2016,5,"23",2017-08-21 05:00:00,2017-08-21 20:38:00,"15:38:09",2016-05-23
2016,5,"24",2017-08-21 04:59:00,2017-08-21 20:39:00,"15:40:21",2016-05-24
2016,5,"25",2017-08-21 04:58:00,2017-08-21 20:40:00,"15:42:30",2016-05-25
2016,5,"26",2017-08-21 04:57:00,2017-08-21 20:41:00,"15:44:35",2016-05-26
2016,5,"27",2017-08-21 04:56:00,2017-08-21 20:42:00,"15:46:36",2016-05-27
2016,5,"28",2017-08-21 04:55:00,2017-08-21 20:43:00,"15:48:33",2016-05-28
2016,5,"29",2017-08-21 04:54:00,2017-08-21 20:44:00,"15:50:27",2016-05-29
2016,5,"30",2017-08-21 04:53:00,2017-08-21 20:46:00,"15:52:16",2016-05-30
2016,5,"31",2017-08-21 04:53:00,2017-08-21 20:47:00,"15:54:00",2016-05-31
2016,6,"1",2017-08-21 04:52:00,2017-08-21 20:48:00,"15:55:41",2016-06-01
2016,6,"2",2017-08-21 04:51:00,2017-08-21 20:48:00,"15:57:17",2016-06-02
2016,6,"3",2017-08-21 04:51:00,2017-08-21 20:49:00,"15:58:48",2016-06-03
2016,6,"4",2017-08-21 04:50:00,2017-08-21 20:50:00,"16:00:15",2016-06-04
2016,6,"5",2017-08-21 04:49:00,2017-08-21 20:51:00,"16:01:38",2016-06-05
2016,6,"6",2017-08-21 04:49:00,2017-08-21 20:52:00,"16:02:55",2016-06-06
