Дата,АЕС,ТЕЦ,"Генерація з ВДЕ",ТЕС,ГЕС,ГАЕС(генерація),Споживання,ГАЕС(закачка),"Україна - Білорусь,РФ","Україна - ЄС","Україна - Молдова"
"01.01.2016 01:00:00",10647,1442,22,5998,209,0,17686,0,-69,-342,8
"01.01.2016 02:00:00",10579,1440,22,5542,53,0,16910,0,-197,-295,-16
"01.01.2016 03:00:00",10584,1444,14,5159,53,0,16287,-408,-87,-281,14
"01.01.2016 04:00:00",10461,1441,11,5116,53,0,15951,-408,-274,-294,48
"01.01.2016 05:00:00",10483,1419,16,5048,53,0,15803,-756,-34,-304,62
"01.01.2016 06:00:00",10494,1433,20,5130,391,0,15819,-1156,-42,-311,68
"01.01.2016 07:00:00",10509,1428,26,5256,173,0,15733,-1152,-69,-277,51
"01.01.2016 08:00:00",10497,1430,35,5137,191,0,15593,-1148,-68,-301,48
"01.01.2016 09:00:00",10459,1432,53,5074,544,0,16377,-533,-118,-283,-4
"01.01.2016 10:00:00",10474,1442,61,5136,523,0,16817,-130,-86,-295,-45
"01.01.2016 11:00:00",10531,1437,139,5214,500,0,17259,0,-5,-279,-18
"01.01.2016 12:00:00",10465,1439,156,5336,576,0,17318,0,-74,-293,-24
"01.01.2016 13:00:00",10489,1432,144,5622,294,0,17436,0,10,-282,-15
"01.01.2016 14:00:00",10473,1435,100,5595,295,0,17381,0,49,-297,-33
"01.01.2016 15:00:00",10487,1437,105,5987,136,0,17548,0,-46,-299,-37
"01.01.2016 16:00:00",10445,1384,64,6237,502,0,18036,0,35,-300,-60
"01.01.2016 17:00:00",10466,1372,57,6457,727,704,19192,0,-2,-284,-31
"01.01.2016 18:00:00",10481,1371,75,6207,804,1028,19345,0,-25,-290,-8
"01.01.2016 19:00:00",10504,1379,74,6223,951,799,19172,0,-118,-295,-49
"01.01.2016 20:00:00",10496,1380,82,5970,996,781,18957,0,-97,-295,-66
"01.01.2016 21:00:00",10483,1361,95,5955,923,648,18819,0,-27,-318,-17
"01.01.2016 22:00:00",10506,1358,115,5891,671,648,18604,0,-7,-313,-8
"01.01.2016 23:00:00",10475,1362,141,5831,642,0,17761,0,-72,-336,-42
"02.01.2016 00:00:00",10488,1334,149,5475,304,0,17128,0,-14,-360,-16
"02.01.2016 01:00:00",10515,1341,149,5706,54,0,16374,-565,-214,-374,-20
"02.01.2016 02:00:00",10512,1329,154,5499,55,0,15985,-933,-54,-386,23
"02.01.2016 03:00:00",10521,1358,167,5425,100,0,15787,-1156,-55,-394,21
"02.01.2016 04:00:00",10492,1352,186,5435,54,0,15831,-1152,71,-414,32
"02.01.2016 05:00:00",10466,1330,214,5598,55,0,15809,-1144,-92,-422,30
"02.01.2016 06:00:00",10455,1335,210,5821,235,0,16212,-1145,-16,-455,9
"02.01.2016 07:00:00",10453,1346,204,5682,79,0,16654,-388,2,-456,-17
"02.01.2016 08:00:00",10477,1354,160,5776,173,0,17098,0,-24,-451,-87
